date,day,high temp,low temp,precipitation,brooklyn,manhattan,williamsburg,queensboro,total
4/1,Friday,78.1,66.0,0.01,"1,704.00","3,126.00","4,115.00","2,552.00","11,497.00"
4/2,Saturday,55.0,48.9,0.15,827.00,"1,646.00","2,565.00","1,884.00","6,922.00"
4/3,Sunday,39.9,34.0,0.09,526.00,"1,232.00","1,695.00","1,306.00","4,759.00"
4/4,Monday,44.1,33.1,0.47,521.00,"1,067.00","1,440.00","1,307.00","4,335.00"
4/5,Tuesday,42.1,26.1,0.0,"1,416.00","2,617.00","3,081.00","2,357.00","9,471.00"
4/6,Wednesday,45.0,30.0,0.0,"1,885.00","3,329.00","3,856.00","2,849.00","11,919.00"
4/7,Thursday,57.0,53.1,0.09,"1,276.00","2,581.00","3,282.00","2,457.00","9,596.00"
4/8,Friday,46.9,44.1,0.01,"1,982.00","3,455.00","4,113.00","3,194.00","12,744.00"
4/9,Saturday,43.0,37.9,0.09,504.00,997.00,"1,507.00","1,502.00","4,510.00"
4/10,Sunday,48.9,30.9,0.0,"1,447.00","2,387.00","3,132.00","2,160.00","9,126.00"
4/11,Monday,62.1,46.0,0.01,"2,005.00","3,791.00","4,334.00","3,182.00","13,312.00"
4/12,Tuesday,57.0,45.0,0.2,"1,045.00","2,178.00","2,762.00","2,082.00","8,067.00"
4/13,Wednesday,57.0,39.9,0.0,"2,840.00","5,395.00","5,995.00","4,192.00","18,422.00"
4/14,Thursday,62.1,44.6,0.0,"2,861.00","5,309.00","6,030.00","4,115.00","18,315.00"
4/15,Friday,64.0,44.1,0.0,"2,770.00","5,072.00","5,816.00","3,912.00","17,570.00"
4/16,Saturday,66.0,45.0,0.0,"2,384.00","4,316.00","5,624.00","4,051.00","16,375.00"
4/17,Sunday,73.9,46.0,0.0,"3,147.00","4,969.00","5,867.00","4,197.00","18,180.00"
4/18,Monday,81.0,52.0,0.0,"3,871.00","6,823.00","7,432.00","4,964.00","23,090.00"
4/19,Tuesday,71.1,63.0,0.0,"3,501.00","6,951.00","7,834.00","5,032.00","23,318.00"
4/20,Wednesday,68.0,50.0,0.0,"3,450.00","6,574.00","7,639.00","4,928.00","22,591.00"
4/21,Thursday,71.1,50.0,0.0,"3,436.00","6,452.00","7,426.00","4,813.00","22,127.00"
4/22,Friday,78.1,63.0,0.0,"2,975.00","4,907.00","6,093.00","3,862.00","17,837.00"
4/23,Saturday,70.0,61.0,0.16,"2,055.00","3,276.00","4,856.00","3,239.00","13,426.00"
4/24,Sunday,68.0,48.0,0.0,"2,798.00","4,650.00","5,335.00","3,957.00","16,740.00"
4/25,Monday,66.9,54.0,0.0,"3,463.00","5,978.00","6,845.00","4,564.00","20,850.00"
4/26,Tuesday,60.1,46.9,0.24,"1,997.00","3,520.00","4,559.00","2,929.00","13,005.00"
4/27,Wednesday,62.1,46.9,0.0,"3,343.00","5,606.00","6,577.00","4,388.00","19,914.00"
4/28,Thursday,57.9,48.0,0.0,"2,486.00","4,152.00","5,336.00","3,657.00","15,631.00"
4/29,Friday,57.0,46.9,0.05,"2,375.00","4,178.00","5,053.00","3,348.00","14,954.00"
4/30,Saturday,64.0,48.0,0.0,"3,199.00","4,952.00","5,675.00","3,606.00","17,432.00"
5/1,Sunday,50.0,45.0,0.16,"2,634.00","1,525.00","2,062.00","1,408.00","7,629.00"
5/2,Monday,59.0,46.0,0.04,"2,505.00","4,149.00","4,864.00","3,575.00","15,093.00"
5/3,Tuesday,54.0,51.1,0.61,"1,059.00","1,986.00","2,614.00","1,741.00","7,400.00"
5/4,Wednesday,51.1,48.9,0.01,"1,710.00","2,905.00","3,797.00","2,693.00","11,105.00"
5/5,Thursday,57.0,46.9,0.0,"2,582.00","4,196.00","4,971.00","3,619.00","15,368.00"
5/6,Friday,53.1,48.0,0.54,652.00,"1,453.00","2,122.00","1,612.00","5,839.00"
5/7,Saturday,57.9,48.9,0.0,"1,867.00","3,157.00","3,789.00","2,749.00","11,562.00"
5/8,Sunday,64.9,50.0,0.16,"1,916.00","2,927.00","3,948.00","2,463.00","11,254.00"
5/9,Monday,72.0,55.0,0.0,"3,650.00","6,591.00","7,386.00","4,951.00","22,578.00"
5/10,Tuesday,62.1,51.1,0.0,"3,384.00","6,283.00","7,335.00","4,796.00","21,798.00"
5/11,Wednesday,73.9,53.1,0.0,"3,883.00","7,216.00","8,231.00","5,327.00","24,657.00"
5/12,Thursday,79.0,57.9,0.0,"3,960.00","7,103.00","8,333.00","5,735.00","25,131.00"
5/13,Friday,64.9,60.1,0.25,"1,780.00","3,072.00","4,229.00","3,121.00","12,202.00"
5/14,Saturday,71.6,60.8,0.0,"2,556.00","4,042.00","5,479.00","3,951.00","16,028.00"
5/15,Sunday,57.2,50.0,0.0,"1,738.00","2,971.00","3,486.00","2,696.00","10,891.00"
5/16,Monday,66.2,46.4,0.0,"2,907.00","5,254.00","5,961.00","4,016.00","18,138.00"
5/17,Tuesday,64.4,55.4,0.0,"2,812.00","5,230.00","6,219.00","4,344.00","18,605.00"
5/18,Wednesday,68.0,53.6,0.0,"3,309.00","5,812.00","6,739.00","4,603.00","20,463.00"
5/19,Thursday,71.1,57.0,0.0,"3,474.00","6,214.00","7,485.00","4,763.00","21,936.00"
5/20,Friday,75.0,55.0,0.0,"3,976.00","6,994.00","7,776.00","5,221.00","23,967.00"
5/21,Saturday,66.0,55.0,0.04,"1,665.00","2,864.00","3,978.00","2,928.00","11,435.00"
5/22,Sunday,69.1,53.1,0.09,"2,117.00","3,729.00","4,633.00","2,956.00","13,435.00"
5/23,Monday,77.0,57.9,0.02,"3,928.00","6,843.00","7,769.00","5,135.00","23,675.00"
5/24,Tuesday,73.0,59.0,0.18,"1,482.00","3,019.00","4,260.00","2,392.00","11,153.00"
5/25,Wednesday,87.1,64.0,0.0,"4,244.00","7,869.00","8,959.00","5,906.00","26,978.00"
5/26,Thursday,89.1,71.1,0.0,"3,887.00","7,037.00","8,231.00","5,451.00","24,606.00"
5/27,Friday,86.0,75.0,0.0,"3,302.00","5,670.00","7,054.00","4,592.00","20,618.00"
5/28,Saturday,90.0,72.0,0.0,"2,664.00","3,998.00","5,327.00","3,895.00","15,884.00"
5/29,Sunday,86.0,73.0,0.0,"3,193.00","4,154.00","4,918.00","3,635.00","15,900.00"
5/30,Monday,79.0,68.0,1.65,"1,719.00","2,750.00","3,759.00","2,689.00","10,917.00"
5/31,Tuesday,84.9,72.0,0.0,"3,948.00","7,016.00","7,957.00","5,556.00","24,477.00"
6/1,Wednesday,82.0,71.1,0.0,"4,126.00","7,565.00","9,028.00","5,823.00","26,542.00"
6/2,Thursday,75.9,63.0,0.0,"4,161.00","7,229.00","8,764.00","5,833.00","25,987.00"
6/3,Friday,70.0,64.0,0.04,"1,864.00","3,708.00","4,961.00","3,189.00","13,722.00"
6/4,Saturday,82.9,66.9,0.4,"3,134.00","4,840.00","6,051.00","4,193.00","18,218.00"
6/5,Sunday,70.0,64.9,0.91,918.00,"1,593.00","2,473.00","1,805.00","6,789.00"
6/6,Monday,82.0,66.9,0.0,"4,280.00","7,542.00","8,489.00","5,654.00","25,965.00"
6/7,Tuesday,84.0,71.1,0.0,"3,956.00","7,319.00","8,527.00","5,447.00","25,249.00"
6/8,Wednesday,66.0,52.0,0.45,"2,630.00","5,266.00","6,325.00","4,094.00","18,315.00"
6/9,Thursday,71.1,54.0,0.0,"3,733.00","6,933.00","7,913.00","5,017.00","23,596.00"
6/10,Friday,75.9,57.0,0.0,"3,932.00","6,697.00","8,077.00","5,079.00","23,785.00"
6/11,Saturday,87.1,63.0,0.0,"2,507.00","4,086.00","5,632.00","3,661.00","15,886.00"
6/12,Sunday,82.0,66.9,0.0,"2,684.00","4,475.00","5,513.00","3,855.00","16,527.00"
6/13,Monday,73.9,57.9,0.0,"3,696.00","6,952.00","7,913.00","5,108.00","23,669.00"
6/14,Tuesday,79.0,59.0,0.0,"4,075.00","7,751.00","8,942.00","5,600.00","26,368.00"
6/15,Wednesday,84.0,64.9,0.0,"3,966.00","7,559.00","9,037.00","5,840.00","26,402.00"
6/16,Thursday,72.0,66.0,0.22,"3,373.00","5,196.00","6,184.00","3,633.00","18,386.00"
6/17,Friday,75.9,66.0,0.0,"5,354.00","6,589.00","8,106.00","5,179.00","25,228.00"
6/18,Saturday,86.0,64.0,0.0,"4,804.00","5,077.00","6,344.00","4,309.00","20,534.00"
6/19,Sunday,87.1,68.0,0.0,"4,135.00","4,622.00","5,339.00","4,000.00","18,096.00"
6/20,Monday,82.0,66.9,0.0,"4,057.00","7,049.00","8,297.00","5,334.00","24,737.00"
6/21,Tuesday,86.0,72.0,0.0,"3,773.00","6,851.00","9,008.00","4,969.00","24,601.00"
6/22,Wednesday,84.0,69.1,0.0,"4,428.00","7,495.00","8,788.00","5,680.00","26,391.00"
6/23,Thursday,81.0,69.1,0.0,"3,580.00","6,204.00","7,660.00","5,066.00","22,510.00"
6/24,Friday,82.9,70.0,0.0,"4,283.00","6,660.00","7,925.00","5,572.00","24,440.00"
6/25,Saturday,84.9,66.9,0.0,"3,577.00","4,835.00","6,441.00","4,618.00","19,471.00"
6/26,Sunday,86.0,69.1,0.0,"2,895.00","4,767.00","5,834.00","4,050.00","17,546.00"
6/27,Monday,82.9,69.1,0.45,"3,985.00","6,571.00","7,557.00","5,315.00","23,428.00"
6/28,Tuesday,75.0,69.1,0.12,"3,004.00","4,813.00","6,400.00","4,410.00","18,627.00"
6/29,Wednesday,82.0,68.0,0.01,"4,066.00","7,142.00","8,594.00","5,994.00","25,796.00"
6/30,Thursday,84.0,68.0,0.0,"3,413.00","7,046.00","8,374.00","5,907.00","24,740.00"
7/1,Friday,78.1,70.0,0.83,"2,399.00","4,084.00","5,356.00","4,254.00","16,093.00"
7/2,Saturday,75.0,64.9,0.0,"2,710.00","4,017.00","5,270.00","3,973.00","15,970.00"
7/3,Sunday,77.0,66.9,0.0,"2,892.00","3,699.00","4,804.00","3,388.00","14,783.00"
7/4,Monday,82.9,68.0,0.49,"2,066.00","3,274.00","3,666.00","2,998.00","12,004.00"
7/5,Tuesday,86.0,71.1,0.66,"2,993.00","4,827.00","6,156.00","4,310.00","18,286.00"
7/6,Wednesday,91.0,77.0,0.0,"3,942.00","6,608.00","8,135.00","5,807.00","24,492.00"
7/7,Thursday,88.0,78.1,0.04,"3,340.00","5,295.00","7,049.00","5,118.00","20,802.00"
7/8,Friday,84.9,72.0,0.08,"3,026.00","4,927.00","6,289.00","4,740.00","18,982.00"
7/9,Saturday,72.0,66.0,0.53,"2,242.00","3,465.00","5,167.00","3,478.00","14,352.00"
7/10,Sunday,79.0,66.9,0.0,"3,493.00","4,736.00","5,495.00","3,938.00","17,662.00"
7/11,Monday,80.1,66.0,0.0,"4,214.00","7,230.00","8,601.00","5,880.00","25,925.00"
7/12,Tuesday,82.4,69.8,0.0,"5,152.00","7,745.00","9,148.00","6,392.00","28,437.00"
7/13,Wednesday,82.9,73.0,0.0,"5,885.00","6,926.00","8,564.00","6,204.00","27,579.00"
7/14,Thursday,87.1,75.0,0.62,"8,264.00","5,641.00","7,010.00","5,084.00","25,999.00"
7/15,Friday,87.1,80.1,0.0,"6,834.00","5,236.00","6,844.00","5,347.00","24,261.00"
7/16,Saturday,89.1,77.0,0.0,"5,293.00","3,663.00","4,878.00","4,010.00","17,844.00"
7/17,Sunday,89.1,75.9,0.0,"4,597.00","4,460.00","4,993.00","4,067.00","18,117.00"
7/18,Monday,91.9,73.0,0.35,"5,464.00","5,089.00","6,580.00","4,895.00","22,028.00"
7/19,Tuesday,82.9,73.9,0.0,"4,125.00","6,965.00","8,548.00","6,217.00","25,855.00"
7/20,Wednesday,82.9,70.0,0.0,"4,140.00","7,315.00","8,751.00","6,382.00","26,588.00"
7/21,Thursday,89.1,72.0,0.0,"4,057.00","6,887.00","8,284.00","6,056.00","25,284.00"
7/22,Friday,93.9,75.0,0.0,"3,218.00","5,178.00","6,865.00","5,115.00","20,376.00"
7/23,Saturday,96.1,81.0,0.0,"2,580.00","3,315.00","4,764.00","3,881.00","14,540.00"
7/24,Sunday,93.0,77.0,0.0,"2,948.00","3,615.00","4,517.00","3,495.00","14,575.00"
7/25,Monday,93.0,73.9,1.0,"2,670.00","3,707.00","4,975.00","3,971.00","15,323.00"
7/26,Tuesday,89.1,72.0,0.0,"3,668.00","6,187.00","7,520.00","5,606.00","22,981.00"
7/27,Wednesday,90.0,77.0,0.0,"3,724.00","6,610.00","8,015.00","5,878.00","24,227.00"
7/28,Thursday,95.0,78.1,0.0,"3,496.00","5,817.00","7,271.00","5,404.00","21,988.00"
7/29,Friday,82.9,69.1,1.09,"1,916.00","3,176.00","4,685.00","3,413.00","13,190.00"
7/30,Saturday,82.9,73.0,0.25,"1,944.00","3,016.00","4,062.00","3,529.00","12,551.00"
7/31,Sunday,77.0,73.9,1.08,"1,528.00","1,887.00","2,799.00","2,127.00","8,341.00"
8/1,Monday,78.1,70.0,0.0,"3,031.00","4,879.00","6,410.00","4,460.00","18,780.00"
8/2,Tuesday,77.0,70.0,0.0,"4,251.00","6,956.00","8,389.00","5,927.00","25,523.00"
8/3,Wednesday,78.1,66.9,0.0,"4,753.00","7,297.00","8,605.00","6,295.00","26,950.00"
8/4,Thursday,80.1,68.0,0.0,"4,465.00","6,935.00","8,617.00","6,246.00","26,263.00"
8/5,Friday,82.0,69.1,0.0,"4,254.00","6,072.00","7,500.00","5,765.00","23,591.00"
8/6,Saturday,84.9,75.0,0.05,"4,029.00","3,668.00","5,172.00","4,045.00","16,914.00"
8/7,Sunday,88.0,71.1,0.0,"3,526.00","4,430.00","5,364.00","4,026.00","17,346.00"
8/8,Monday,86.0,72.0,0.0,"4,266.00","6,362.00","7,897.00","5,615.00","24,140.00"
8/9,Tuesday,86.0,73.0,0.0,"4,707.00","7,113.00","8,510.00","6,223.00","26,553.00"
8/10,Wednesday,86.0,77.0,0.09,"3,077.00","4,893.00","6,641.00","4,934.00","19,545.00"
8/11,Thursday,91.0,80.1,0.15,"2,583.00","5,088.00","6,421.00","5,044.00","19,136.00"
8/12,Friday,93.0,75.9,0.32,"2,373.00","4,134.00","5,501.00","4,341.00","16,349.00"
8/13,Saturday,96.1,82.0,0.0,"3,481.00","3,134.00","4,226.00","3,721.00","14,562.00"
8/14,Sunday,93.9,78.1,0.06,"1,888.00","5,114.00","3,562.00","2,790.00","13,354.00"
8/15,Monday,91.0,77.0,0.0,"3,076.00","7,339.00","6,513.00","4,958.00","21,886.00"
8/16,Tuesday,87.1,78.1,0.11,"2,769.00","5,326.00","6,944.00","5,066.00","20,105.00"
8/17,Wednesday,84.9,77.0,0.01,"3,279.00","5,942.00","7,610.00","5,606.00","22,437.00"
8/18,Thursday,84.0,72.0,0.03,"3,179.00","5,658.00","7,411.00","5,487.00","21,735.00"
8/19,Friday,87.1,75.0,0.01,"3,060.00","4,700.00","6,867.00","5,265.00","19,892.00"
8/20,Saturday,82.9,70.0,0.82,"4,304.00","7,005.00","5,402.00","4,483.00","21,194.00"
8/21,Sunday,84.9,75.0,0.31,"1,937.00","4,866.00","3,920.00","3,048.00","13,771.00"
8/22,Monday,77.0,69.1,0.0,"3,699.00","4,973.00","7,866.00","5,515.00","22,053.00"
8/23,Tuesday,80.1,64.0,0.0,"3,961.00","4,115.00","8,766.00","6,072.00","22,914.00"
8/24,Wednesday,87.8,68.0,0.0,"3,633.00","3,087.00","8,395.00","6,112.00","21,227.00"
8/25,Thursday,86.0,71.6,0.0,"3,330.00","2,959.00","7,724.00","5,787.00","19,800.00"
8/26,Friday,89.6,77.0,0.0,"2,973.00","5,296.00","6,691.00","5,007.00","19,967.00"
8/27,Saturday,88.0,75.2,0.0,"2,849.00","5,401.00","5,703.00","4,215.00","18,168.00"
8/28,Sunday,87.1,73.0,0.0,"2,995.00","5,904.00","4,969.00","3,805.00","17,673.00"
8/29,Monday,90.0,73.9,0.0,"3,355.00","5,748.00","7,388.00","5,289.00","21,780.00"
8/30,Tuesday,84.0,70.0,0.0,"3,617.00","5,340.00","8,424.00","5,927.00","23,308.00"
8/31,Wednesday,88.0,75.0,0.0,"3,359.00","4,212.00","7,972.00","5,853.00","21,396.00"
9/1,Thursday,78.1,70.0,0.0,"1,608.00","3,012.00","4,435.00","3,498.00","12,553.00"
9/2,Friday,80.1,66.0,0.0,"3,594.00","6,657.00","7,116.00","5,376.00","22,743.00"
9/3,Saturday,73.9,68.0,0.0,"2,850.00","7,357.00","5,115.00","3,961.00","19,283.00"
9/4,Sunday,79.0,64.9,0.0,"2,871.00","6,949.00","4,800.00","3,275.00","17,895.00"
9/5,Monday,82.9,66.0,0.0,"2,465.00","6,248.00","4,904.00","3,583.00","17,200.00"
9/6,Tuesday,79.0,72.0,0.0,"2,796.00","5,121.00","6,071.00","4,441.00","18,429.00"
9/7,Wednesday,82.9,72.0,0.0,"3,268.00","4,216.00","7,988.00","5,486.00","20,958.00"
9/8,Thursday,88.0,71.1,0.0,"3,285.00","4,470.00","8,007.00","5,782.00","21,544.00"
9/9,Friday,90.0,81.0,0.22,"3,026.00","6,060.00","6,734.00","5,030.00","20,850.00"
9/10,Saturday,90.0,75.0,0.0,"5,136.00","7,072.00","5,544.00","4,303.00","22,055.00"
9/11,Sunday,82.0,75.0,0.0,"2,654.00","6,433.00","5,426.00","3,736.00","18,249.00"
9/12,Monday,78.1,62.1,0.0,"3,691.00","3,445.00","8,230.00","5,768.00","21,134.00"
9/13,Tuesday,82.0,64.9,0.0,"3,783.00","9,152.00","8,972.00","6,315.00","28,222.00"
9/14,Wednesday,90.0,69.1,0.56,"3,318.00","6,787.00","7,982.00","5,819.00","23,906.00"
9/15,Thursday,73.0,62.1,0.0,"3,665.00","7,598.00","8,708.00","6,261.00","26,232.00"
9/16,Friday,73.0,62.1,0.0,"3,428.00","5,143.00","7,729.00","5,880.00","22,180.00"
9/17,Saturday,75.9,60.1,0.0,"2,951.00","5,210.00","6,727.00","4,813.00","19,701.00"
9/18,Sunday,81.0,71.1,0.0,"2,356.00","4,066.00","5,175.00","3,482.00","15,079.00"
9/19,Monday,72.0,69.1,0.68,"1,063.00","2,260.00","3,123.00","2,505.00","8,951.00"
9/20,Tuesday,82.0,69.1,0.0,"3,661.00","7,044.00","8,039.00","5,961.00","24,705.00"
9/21,Wednesday,84.0,69.1,0.0,"3,613.00","7,411.00","8,452.00","6,295.00","25,771.00"
9/22,Thursday,86.0,64.9,0.0,"3,663.00","7,532.00","8,470.00","6,098.00","25,763.00"
9/23,Friday,86.0,64.0,0.01,"3,663.00","6,702.00","8,104.00","5,074.00","23,543.00"
9/24,Saturday,71.1,57.9,0.2,"2,567.00","4,693.00","5,674.00","3,827.00","16,761.00"
9/25,Sunday,69.1,54.0,0.0,"2,971.00","5,013.00","5,900.00","3,763.00","17,647.00"
9/26,Monday,71.1,55.0,0.0,"3,575.00","7,159.00","8,006.00","5,283.00","24,023.00"
9/27,Tuesday,73.9,64.0,0.22,"2,985.00","5,942.00","7,063.00","4,369.00","20,359.00"
9/28,Wednesday,68.0,60.1,0.0,"3,150.00","6,225.00","7,363.00","4,883.00","21,621.00"
9/29,Thursday,64.0,60.1,0.0,"2,188.00","4,728.00","5,649.00","3,828.00","16,393.00"
9/30,Friday,59.0,57.0,0.4,756.00,"1,542.00","2,422.00","1,906.00","6,626.00"
10/1,Saturday,62.1,57.0,0.0,"1,260.00","2,440.00","3,590.00","2,394.00","9,684.00"
10/2,Sunday,63.0,57.0,0.0,"1,659.00","3,157.00","3,915.00","2,831.00","11,562.00"
10/3,Monday,71.1,61.0,0.0,"3,079.00","5,729.00","6,918.00","4,446.00","20,172.00"
10/4,Tuesday,68.0,60.1,0.0,"3,133.00","6,160.00","7,543.00","4,734.00","21,570.00"
10/5,Wednesday,66.0,54.0,0.0,"3,410.00","6,906.00","8,020.00","5,097.00","23,433.00"
10/6,Thursday,73.0,55.9,0.0,"3,580.00","6,957.00","8,897.00","5,160.00","24,594.00"
10/7,Friday,73.9,57.0,0.0,"3,288.00","6,209.00","7,624.00","4,826.00","21,947.00"
10/8,Saturday,68.0,59.0,0.23,"1,584.00","2,757.00","3,875.00","2,838.00","11,054.00"
10/9,Sunday,57.9,51.1,0.55,621.00,"1,173.00","2,045.00","1,439.00","5,278.00"
10/10,Monday,63.0,46.9,0.0,"2,838.00","5,205.00","6,054.00","3,763.00","17,860.00"
10/11,Tuesday,63.0,46.9,0.0,"3,184.00","6,201.00","7,227.00","4,334.00","20,946.00"
10/12,Wednesday,64.0,53.1,0.0,"2,879.00","6,040.00","7,189.00","4,367.00","20,475.00"
10/13,Thursday,66.9,55.0,0.0,"3,079.00","6,171.00","7,144.00","4,379.00","20,773.00"
10/14,Friday,61.0,48.0,0.0,"2,925.00","5,477.00","6,604.00","4,015.00","19,021.00"
10/15,Saturday,64.9,46.0,0.0,"2,444.00","4,323.00","5,350.00","3,418.00","15,535.00"
10/16,Sunday,69.1,54.0,0.0,"2,291.00","4,057.00","5,001.00","3,007.00","14,356.00"
10/17,Monday,80.1,63.0,0.0,"3,465.00","6,719.00","7,731.00","4,662.00","22,577.00"
10/18,Tuesday,81.0,66.9,0.0,"4,029.00","7,594.00","8,761.00","5,098.00","25,482.00"
10/19,Wednesday,84.0,69.1,0.0,"3,966.00","7,447.00","8,582.00","5,625.00","25,620.00"
10/20,Thursday,70.0,62.1,0.0,"2,869.00","5,588.00","7,089.00","4,857.00","20,403.00"
10/21,Friday,69.1,66.0,1.11,"1,246.00","2,566.00","3,558.00","2,772.00","10,142.00"
10/22,Saturday,50.0,46.9,0.29,544.00,"1,254.00","2,108.00","1,517.00","5,423.00"
10/23,Sunday,61.0,46.0,0.0,"1,899.00","3,271.00","4,020.00","2,707.00","11,897.00"
10/24,Monday,61.0,51.1,0.0,"3,041.00","5,470.00","6,357.00","4,030.00","18,898.00"
10/25,Tuesday,51.1,46.0,0.0,"2,616.00","5,224.00","5,760.00","4,054.00","17,654.00"
10/26,Wednesday,50.0,37.9,0.0,"2,520.00","4,909.00","5,649.00","3,870.00","16,948.00"
10/27,Thursday,54.0,41.0,1.41,651.00,"1,558.00","2,137.00","1,902.00","6,248.00"
10/28,Friday,46.9,44.1,0.0,"2,021.00","3,872.00","4,271.00","3,202.00","13,366.00"
10/29,Saturday,63.0,39.0,0.0,"1,639.00","3,160.00","4,027.00","2,920.00","11,746.00"
10/30,Sunday,75.0,57.9,0.56,"1,702.00","2,971.00","3,531.00","2,547.00","10,751.00"
10/31,Monday,54.0,44.0,0.0,"2,648.00","4,876.00","5,440.00","3,720.00","16,684.00"